City,Northing,Easting,X9.14.18,X9.21.18,X9.28.18,X10.5.18,X10.12.18,X10.19.18,X10.26.18,X11.2.18,X11.9.18,X11.16.18,X11.23.18,X11.30.18,X12.7.18,X12.14.18,X12.21.18,X12.28.18,X1.4.19,X1.11.19,X1.18.19,X1.25.19,X2.1.19,X2.8.19,X2.15.19,X2.22.19,X3.1.19,X3.8.19,X3.15.19
Albany,42.66575,-73.79901,1.77675121041176,0,1.77675121041176,1.77675121041176,39.9769022342646,97.7213165726469,165.237862568294,137.698218806912,46.1955314707058,17.7675121041176,3.55350242082352,12.4372584728823,6.21862923644117,9.77213165726469,9.77213165726469,11.5488828676765,10.6605072624706,10.6605072624706,7.10700484164705,9.77213165726469,15.9907608937059,13.3256340780882,14.2140096832941,8.88375605205881,10.6605072624706,9.77213165726469,10.6605072624706
Atlanta,33.7629,-84.42259,3.46960624925651,0,1.98263214243229,3.46960624925651,14.8697410682422,40.1483008842539,50.0614615964154,19.3306633887149,15.3653991038503,13.382766961418,11.8957928545938,16.8523732106745,17.8436892818906,25.2785598160117,15.3653991038503,15.8610571394583,19.8263214243229,19.8263214243229,26.765533922836,28.2525080296602,26.765533922836,13.8784249970261,10.4088187477695,12.3914508902018,0,0,0
Baltimore,39.3008,-76.61061,1.16734177932905,1.00057866799632,3.16849911532169,19.5112840259283,93.8876316803218,226.297542078502,178.936818460009,66.2049551990901,24.51417736591,8.50491867796876,6.00347200797795,6.67052445330883,9.6722604572978,11.339891570625,12.3404702386213,9.50549734596508,8.0046293439706,12.5072333499541,13.8413382406158,25.0144666999081,23.0133093639155,21.0121520279228,19.5112840259283,15.0086800199449,11.0063653479596,8.50491867796876,10.172549791296
Birmingham,33.52774,-86.79922,1.01178732230485,1.01178732230485,2.52946830576213,8.09429857843881,30.859513330298,55.6483027267668,67.2838569332726,43.0009611979562,23.2711084130116,23.2711084130116,22.2593210907067,36.4243436029747,45.5304295037183,0,65.2602822886629,26.8123640410786,18.2121718014873,22.2593210907067,26.3064703799261,20.7416401072495,14.6709161734203,10.6237668842009,14.1650225122679,0,0,0,0
Boston,42.33602,-71.01789,5.85804430464377,33.7474291463174,98.6953116543245,154.601430126903,130.787206540634,75.0084368572866,28.7808263662933,17.4467841246999,9.67850798158537,5.98539309387516,6.87683461849486,6.87683461849486,8.02297372157734,10.5699495062051,16.810040178543,25.5971066355087,31.0731045724583,28.9081751555247,20.121108698559,19.4843647524021,14.0083668154525,11.3340422415934,9.04176403542843,,8.91441524619705,8.78706645696566,5.73069551541239
Buffalo,42.8898,-78.85968,1.6905134723358,2.32445602446173,3.38102694467161,10.1430808340148,38.0365531275556,112.207831726289,153.202783430432,96.1479537390988,35.5007829190519,16.905134723358,7.18468225742717,7.60731062551112,6.33942552125926,13.5241077786864,13.1014794106025,14.3693645148543,10.1430808340148,4.01496949679753,19.0182765637778,25.991644637163,19.0182765637778,15.8485638031482,7.39599644146914,7.18468225742717,9.29782409784692,4.22628368083951,4.86022623296544
Cambridge,42.3758,-71.1187,6.281857994113,3.58963313949314,94.227869911695,125.63715988226,103.201952760428,56.536721947017,18.845573982339,17.0507574125924,4.48704142436643,8.07667456385957,8.07667456385957,6.281857994113,5.38444970923972,11.6663077033527,15.2559408428459,23.3326154067054,34.9989231100582,19.7429822672123,17.9481656974657,14.3585325579726,11.6663077033527,8.97408284873286,2.69222485461986,5.38444970923972,1.79481656974657,3.58963313949314,3.58963313949314
Chicago,41.83705,-87.68496,0.622645378940032,0.933968068410048,3.54129559272143,16.2276951886246,40.7443569843883,81.9167826667979,92.112600746941,57.2055441901154,28.719518103609,15.1769811116633,9.76774938212175,8.44462795187418,10.195818080143,16.2666105248083,19.302006747141,17.0838325846671,12.4918229149844,10.4682254334293,12.7642302682707,28.563856758874,10.7795481228993,7.54957521964789,9.14510400318172,9.06727333081421,8.95052732226296,8.28896660713917,9.02835799463046
Cincinnati,39.1398,-84.50595,1.196109295683,0.956887436546402,1.4353311548196,4.30599346445881,16.0278645621522,45.9305969542273,67.2213424173847,59.3270210658769,38.9931630392659,23.2045203362502,25.118295209343,22.4868547588404,35.6440570113535,49.7581467004129,38.9931630392659,19.8554143083378,12.2003148159666,4.30599346445881,4.30599346445881,6.21976833755161,5.50210276014181,9.32965250632742,8.85120878805422,18.6593050126548,21.529967322294,25.5967389276162,24.1614077727966
Cleveland,41.4797,-81.67851,0.61705084252122,0.987281348033953,1.23410168504244,2.22138303307639,4.93640674016976,19.4988066236706,55.9048063324226,84.1657349198945,64.6669282962239,43.3169691449897,29.6184404410186,24.3118031953361,23.6947523528149,27.8906980819592,29.7418506095228,22.9542913417894,16.2901422425602,11.6005558393989,11.3537355023905,11.3537355023905,13.3282981984584,12.3410168504244,9.87281348033953,,11.6005558393989,16.166732074056,16.2901422425602
